country,Year,K mineral fertilization (ktK),N mineral fertilization (ktN),P mineral fertilization (ktP),N supply (kg/cap/y),N supply (kt/y),Population (Mhab),All Animals Amount excreted in manure (ktN),All Animals Losses from manure treated (ktN),All Animals Manure applied to soils (ktN),All Animals Manure left on pasture (ktN),All Animals Manure management (treated) (ktN),non ruminants Amount excreted in manure (ktN),non ruminants Losses from manure treated (ktN),non ruminants Manure applied to soils (ktN),non ruminants Manure left on pasture (ktN),non ruminants Manure management (treated) (ktN),ruminants Amount excreted in manure (ktN),ruminants Losses from manure treated (ktN),ruminants Manure applied to soils (ktN),ruminants Manure left on pasture (ktN),ruminants Manure management (treated) (ktN),N croplands Input (ktN),N croplands Atmospheric Deposition (ktN),N croplands Biological Fixation (ktN),N croplands Manure applied to Soils (ktN),N croplands Mineral fertilizers (ktN)
World,1981,19907.360443404254,60737.93537,13643.093372112675,3.9355760000000006,17573.675844659443,4465.33769,95803.10912752851,8148.121261415026,24440.013395644866,61691.44986860853,31872.33432948625,14803.365939589334,1722.902367935658,7976.094318675235,5211.522211531945,9595.353150455212,80999.74318793917,6425.218893479369,16463.919076969632,56479.927657076594,22276.981179031027,107855.87541050001,10970.3946357,16519.7361302,22441.5097823,55572.8499055
World,1982,19203.746980212763,61727.614729999994,13682.84987225352,3.9495919999999995,17948.15651895616,4544.30648,96920.62745470513,8187.963998935621,24643.614877674296,62528.98531195699,32111.640346207423,14921.72134836247,1705.701950180692,8006.922660266715,5317.1540654334585,9608.106491985061,81998.90610634265,6482.26204875493,16636.69221740758,57211.83124652352,22503.53385422237,109614.9065028,11099.963331,16817.2799914,22640.771880199998,56720.787274300004
World,1983,20793.877815957447,66528.17497,14367.270439577464,4.0225919999999995,18605.32614726912,4625.2083600000005,97454.41706885479,8232.386345653265,24833.571924498843,62788.65544647038,32346.50319350823,15062.094192083765,1699.1408888261337,8090.3496970906535,5380.180417761265,9685.1154660578,82392.32287677102,6533.2454568271305,16743.222227408198,57408.4750287091,22661.387727450427,114523.4814321,11347.0035954,16326.161245899999,22834.9136004,61635.850722099996
World,1984,21614.054960425532,70715.37595999999,15079.231240985915,4.034272,18994.741696877758,4708.34433,97953.67256533644,8345.329930503121,25210.68254243373,62779.69569484325,32825.33260899383,15317.64363091949,1743.888122794061,8264.860227655789,5419.514289118604,9900.676809364231,82636.02893441697,6601.441807709061,16945.82231477795,57360.181405724645,22924.6557996296,120019.73912720001,11719.9157102,17363.3204723,23194.308448199998,65366.951085299996
World,1985,21453.64401893617,70673.25799,14689.067100985914,4.056463999999999,19445.928356340315,4793.812629999999,98502.32721117248,8366.382633858802,25396.84641784152,63095.55030490266,33033.99936501754,15539.44007365697,1741.7266231382653,8380.924358580898,5526.595491538799,10015.129342239867,82962.88713751553,6624.656010720537,17015.922059260618,57568.95481336385,23018.87002277767,120699.58132889999,11946.0661022,17908.7853497,23373.0487595,65099.7482808
World,1986,21778.198417659576,72544.68312,15210.235149577466,4.078656,19911.1936692384,4881.8026500000005,99732.24891882304,8393.228531763525,25763.671050842182,63846.46247434858,33434.258966214256,16008.922630059495,1778.1492713600549,8695.791512300604,5645.04994714037,10365.59605694493,83723.32628876354,6615.0792604034705,17067.879538541587,58201.41252720821,23068.662909269326,122965.99931890001,12259.9041635,17650.4474936,23724.5299233,66977.595402
World,1987,22673.53462787234,75719.49007,15829.417024647886,4.105519999999999,20412.3123591624,4971.91887,100472.45753121523,8362.701267269931,25979.777335752646,64378.49019650088,33625.83993401701,16386.209763109066,1795.5668382953531,8943.465043226472,5758.03886159817,10629.34609733893,84086.24776810617,6567.134428974578,17036.31229252618,58620.451334902726,22996.493836678073,127140.5312899,12545.0756734,17968.622281599997,23947.2566348,70321.1157998
World,1988,23278.604749787235,79517.74437999999,16426.84537450704,4.131215999999999,20916.019622253596,5062.9208499999995,101420.79300116257,8292.329521931319,25915.083813286376,65420.94968720596,33503.9859845152,16550.101402921155,1807.55507261099,9005.432483768793,5847.709813297523,10703.303192077761,84870.69159824142,6484.774449320329,16909.651329517586,59573.239873908446,22800.682792437437,131426.3583616,12917.769865,18292.327736299998,23902.1950285,73905.5166371
World,1989,22032.88806702128,78713.88488,16369.824249577463,4.140560000000001,21336.849335528004,5153.1313,103259.57115137287,8322.363545256154,26224.112826110402,66886.35376353486,33842.35747672947,16793.507475219383,1814.144257172509,9146.96415596066,5942.280595440051,10851.835733299919,86466.06367615348,6508.219288083644,17077.148670149734,60944.07316809481,22990.521743429552,132125.2614997,13134.949891100001,19229.1399169,24202.0829192,73152.3605941
World,1990,20541.980043829786,77109.62167000001,15729.529497042253,4.115448000000001,21577.83352269624,5243.13113,104260.59669898654,8304.87102831023,26371.73998454701,67720.21049387509,33977.09161060106,17065.132798025832,1810.158484812573,9291.286088271572,6072.6262540311245,10992.91674188197,87195.46390096069,6494.712543497656,17080.453896275438,61647.584239843956,22984.17486871909,130686.4216806,13241.732395199999,19182.9093822,24334.871349800003,71607.4685953
World,1991,19678.814029148933,75469.42894,15386.121788169012,4.097928,21837.514045068718,5328.91599,104057.67515177808,8223.687315226536,25921.45128849141,68016.24780220372,33461.58974970152,16900.17979886978,1805.8690304868283,9020.397147956546,6181.638946774838,10718.402019018064,87157.49535290831,6417.818284739707,16901.05414053486,61834.60885542887,22743.18773068345,128357.0202653,13370.7824552,18572.786768500002,23983.6641699,70103.498227
